Fiscal Year,Grantee,State,Total Program Funding,Income Eligible Fed,Income Eligible State,CLRCB,CLRCV,DFRCB,DFRCV,ESRCB,ESRCV,HLRCB,HLRCV,KSRCB,KSRCV,NGRCB,NGRCV,PARCB,PARCV,PQRCB,PQRCV,TERCB,TERCV
2016,Virginia,VA,90368285,929976,457085,0,0,9854,151.7,154175,5131,10505,306,643,8.6,81054,839.6,21002,466.3,10505,306,579396,6472.6
2016,Washington,WA,56687716,769809,389970,0,0,3535,59.1,116730,3244.7,7294,159.1,39,0.5,82329,822.7,10868,218.8,7294,159.1,454593,4388.2
2016,West Virginia,WV,30696973,242360,178255,0,0,1550,24,38813,1301.9,2242,69.1,208,2.8,25498,214.9,3999,95.9,2242,69.1,155489,1636.5
2016,Wisconsin,WI,112322608,689222,689177,0,0,4111,63.1,74430,3069.4,22411,291.3,82,1.1,131192,1012.4,26605,355.5,22411,291.3,412718,4494.6
2016,Wyoming,WY,9818266,57626,57622,0,0,116,1.5,9387,306.3,2597,51.5,1,0,12891,102.1,2714,53,2597,51.5,49012,476
2017,Alabama,AL,47121632,597533,524784,0,0,83,1.3,102978,3786.7,4760,124.1,4,0.1,27077,424.6,4847,125.5,4760,124.1,323377,4341.4
2017,Alaska,AK,10311124,63445,49400,0,0,7755,139.2,7030,438.2,447,14.1,0,0,20000,213,8202,153.3,447,14.1,53081,829.2
2017,Arizona,AZ,21166663,655219,655219,0,0,7,0.1,116865,4259.3,3934,117.4,0,0,34332,517.9,3942,117.5,3934,117.4,401344,4908.6
2017,Arkansas,AR,29626853,336480,328202,0,0,48,0.7,58095,1749.7,2949,73,2,0,26080,333.4,2999,73.8,2949,73,202036,2170.5
2017,California,CA,171581930,3716264,3712296,0,0,412,7.9,307501,16500.8,22096,651.4,287,4.9,446314,5383.3,22794,664.2,22096,651.4,1415437,22639.1
2017,Colorado,CO,55995629,583310,409733,0,0,179,3.1,63514,2264.6,10341,238,3,0.1,125643,958.2,10523,241.2,10341,238,343246,3512.3
2017,Connecticut,CT,86852428,433877,433877,0,0,45050,810.3,42239,2512,9005,301.1,48,0.8,49815,675.6,54102,1112.3,9005,301.1,229812,4321.5
2017,Delaware,DE,12548140,100045,89520,0,0,1764,31.3,15909,622.4,2294,65.2,39,0.6,10371,127.1,4098,97.1,2294,65.2,59711,848.5
2017,District of Columbia,DC,11209544,75822,75808,0,0,91,1.7,8171,309.8,5,0.2,0,0,12368,149.2,96,1.9,5,0.2,38383,460.8
2017,Florida,FL,75362480,2050786,1777564,0,0,52,0.9,414430,14097.7,6254,251,10,0.2,15423,315.9,6316,252,6254,251,1175968,14666.2
