State,Year,State_Year,Total_HDD,Total_CDD
MICHIGAN	     10,1997,MICHIGAN	     10 1997,2733,
MINNESOTA,1998,MINNESOTA 1998,2941,523
MINNESOTA,1999,MINNESOTA 1999,2916,517
MINNESOTA,2000,MINNESOTA 2000,3621,414
MINNESOTA,2001,MINNESOTA 2001,2717,585
MINNESOTA,2002,MINNESOTA 2002,3302,606
MINNESOTA,2003,MINNESOTA 2003,3099,531
MINNESOTA,2004,MINNESOTA 2004,3004,317
MINNESOTA,2005,MINNESOTA 2005,2968,606.0
MINNESOTA,2006,MINNESOTA 2006,3061,661.0
MINNESOTA,2007,MINNESOTA 2007,3234,649.0
MINNESOTA,2008,MINNESOTA 2008,3470,438.0
MINNESOTA,2009,MINNESOTA 2009,3282,389.0
MINNESOTA,2010,MINNESOTA 2010,3347,590.0
MINNESOTA,2011,MINNESOTA 2011,2895,590.0
MINNESOTA,2012,MINNESOTA 2012,3271,680.0
MINNESOTA,2013,MINNESOTA 2013,3583,576.0
MINNESOTA,2014,MINNESOTA 2014,3368,492.0
MINNESOTA,2015,MINNESOTA 2015,2634,559.0
MINNESOTA,2016,MINNESOTA 2016,2776,565.0
MINNESOTA,2017,MINNESOTA 2017,3272,478.0
MINNESOTA,2018,MINNESOTA 2018,3409,677.0
MINNESOTA,2019,MINNESOTA 2019,3350,516.0
MINNESOTA,2020,MINNESOTA 2020,3201,633.0
MINNESOTA	     1,1997,MINNESOTA	     1 1997,3281,
MISSISSIPPI,1997,MISSISSIPPI 1997,121,1820
MISSISSIPPI,1998,MISSISSIPPI 1998,801,2348
MISSISSIPPI,1999,MISSISSIPPI 1999,956,2107
MISSISSIPPI,2000,MISSISSIPPI 2000,1339,2396
MISSISSIPPI,2001,MISSISSIPPI 2001,863,2080
MISSISSIPPI,2002,MISSISSIPPI 2002,1053,2307
MISSISSIPPI,2003,MISSISSIPPI 2003,989,2070
MISSISSIPPI,2004,MISSISSIPPI 2004,858,2178
MISSISSIPPI,2005,MISSISSIPPI 2005,1033,2328.0
MISSISSIPPI,2006,MISSISSIPPI 2006,991,2347.0
MISSISSIPPI,2007,MISSISSIPPI 2007,829,2375.0
MISSISSIPPI,2008,MISSISSIPPI 2008,1042,2065.0
MISSISSIPPI,2009,MISSISSIPPI 2009,1074,2126.0
MISSISSIPPI,2010,MISSISSIPPI 2010,1067,2526.0
MISSISSIPPI,2011,MISSISSIPPI 2011,958,2389.0
MISSISSIPPI,2012,MISSISSIPPI 2012,945,2280.0
MISSISSIPPI,2013,MISSISSIPPI 2013,1067,2171.0
MISSISSIPPI,2014,MISSISSIPPI 2014,1011,2109.0
MISSISSIPPI,2015,MISSISSIPPI 2015,585,2429.0
MISSISSIPPI,2016,MISSISSIPPI 2016,709,2611.0
MISSISSIPPI,2017,MISSISSIPPI 2017,915,2274.0
MISSISSIPPI,2018,MISSISSIPPI 2018,960,2396.0
MISSISSIPPI,2019,MISSISSIPPI 2019,929,2461.0
MISSISSIPPI,2020,MISSISSIPPI 2020,858,2206.0
